date,state_x,cases,deaths,state_y,anxiety,cough,depression,fever,generalized_anxiety_disorder,nausea,State,State Code,Region,Division
2020-02-03,Washington,1,0,US-WA,9.22,8.2,5.97,5.19,1.24,2.38,Washington,WA,West,Pacific
2020-02-04,Arizona,1,0,US-AZ,8.31,9.63,5.2,5.5,1.21,2.09,Arizona,AZ,West,Mountain
2020-02-04,California,6,0,US-CA,8.4,9.56,5.15,5.62,1.14,2.01,California,CA,West,Pacific
2020-02-04,Illinois,2,0,US-IL,8.09,8.83,4.95,5.72,1.17,2.03,Illinois,IL,Midwest,East North Central
2020-02-04,Massachusetts,1,0,US-MA,8.0,9.38,4.88,5.81,1.12,2.0,Massachusetts,MA,Northeast,New England
2020-02-04,Washington,1,0,US-WA,9.36,7.86,5.92,5.08,1.23,2.26,Washington,WA,West,Pacific
2020-02-05,Arizona,1,0,US-AZ,8.23,9.47,5.07,5.31,1.1,2.05,Arizona,AZ,West,Mountain
2020-02-05,California,6,0,US-CA,8.6,9.35,5.2,5.6,1.16,2.02,California,CA,West,Pacific
2020-02-05,Illinois,2,0,US-IL,7.96,8.66,4.89,5.46,1.15,1.98,Illinois,IL,Midwest,East North Central
2020-02-05,Massachusetts,1,0,US-MA,7.95,8.98,4.78,5.53,1.07,1.94,Massachusetts,MA,Northeast,New England
2020-02-05,Washington,1,0,US-WA,9.35,8.05,6.2,5.02,1.26,2.27,Washington,WA,West,Pacific
2020-02-05,Wisconsin,1,0,US-WI,7.46,8.18,4.71,5.07,1.08,1.96,Wisconsin,WI,Midwest,East North Central
2020-02-06,Arizona,1,0,US-AZ,8.3,9.42,5.18,5.33,1.19,2.1,Arizona,AZ,West,Mountain
2020-02-06,California,6,0,US-CA,8.59,9.38,5.17,5.64,1.14,2.06,California,CA,West,Pacific
2020-02-06,Illinois,2,0,US-IL,7.9,8.78,4.82,5.41,1.14,1.92,Illinois,IL,Midwest,East North Central
2020-02-06,Massachusetts,1,0,US-MA,7.78,8.87,4.8,5.38,1.05,1.87,Massachusetts,MA,Northeast,New England
2020-02-06,Washington,1,0,US-WA,9.25,8.06,6.09,5.05,1.22,2.31,Washington,WA,West,Pacific
2020-02-06,Wisconsin,1,0,US-WI,7.3,7.97,4.54,5.12,1.05,1.88,Wisconsin,WI,Midwest,East North Central
2020-02-07,Arizona,1,0,US-AZ,7.52,9.07,4.75,5.21,1.08,2.08,Arizona,AZ,West,Mountain
2020-02-07,California,6,0,US-CA,7.69,9.14,4.76,5.51,1.04,2.03,California,CA,West,Pacific
2020-02-07,Illinois,2,0,US-IL,7.12,8.32,4.41,5.15,1.01,1.96,Illinois,IL,Midwest,East North Central
2020-02-07,Massachusetts,1,0,US-MA,6.92,8.11,4.23,5.0,0.97,1.9,Massachusetts,MA,Northeast,New England
2020-02-07,Washington,1,0,US-WA,8.54,7.28,5.64,4.63,1.23,2.17,Washington,WA,West,Pacific
2020-02-07,Wisconsin,1,0,US-WI,6.63,7.6,4.05,4.72,0.93,1.91,Wisconsin,WI,Midwest,East North Central
2020-02-08,Arizona,1,0,US-AZ,7.17,9.6,4.54,5.48,0.95,2.21,Arizona,AZ,West,Mountain
2020-02-08,California,6,0,US-CA,7.48,9.81,4.64,5.84,1.0,2.21,California,CA,West,Pacific
2020-02-08,Illinois,2,0,US-IL,6.78,8.74,4.29,5.4,0.97,2.16,Illinois,IL,Midwest,East North Central
2020-02-08,Massachusetts,1,0,US-MA,6.66,8.69,4.27,5.26,0.93,2.05,Massachusetts,MA,Northeast,New England
2020-02-08,Washington,1,0,US-WA,8.19,7.75,5.38,4.86,1.19,2.38,Washington,WA,West,Pacific
